"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 04:08:13 GMT 2022","Tue Dec 13 04:08:14 GMT 2022","1438","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"failed","Tue Dec 13 04:08:24 GMT 2022","Tue Dec 13 04:08:24 GMT 2022","136","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Tue Dec 13 04:08:07 GMT 2022","Tue Dec 13 04:08:08 GMT 2022","941","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Tue Dec 13 04:08:21 GMT 2022","Tue Dec 13 04:08:22 GMT 2022","475","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Dec 13 04:08:18 GMT 2022","Tue Dec 13 04:08:22 GMT 2022","3794","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Tue Dec 13 04:08:07 GMT 2022","Tue Dec 13 04:08:08 GMT 2022","949","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Tue Dec 13 04:08:16 GMT 2022","Tue Dec 13 04:08:19 GMT 2022","3650","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Tue Dec 13 04:08:10 GMT 2022","Tue Dec 13 04:08:11 GMT 2022","1053","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Tue Dec 13 04:08:24 GMT 2022","Tue Dec 13 04:08:24 GMT 2022","46","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Tue Dec 13 04:08:10 GMT 2022","Tue Dec 13 04:08:11 GMT 2022","1487","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"skipped","Tue Dec 13 04:08:13 GMT 2022","Tue Dec 13 04:08:16 GMT 2022","3699","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
