"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 01:47:18 GMT 2022","Sat Dec 24 01:47:19 GMT 2022","1069","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Sat Dec 24 01:47:34 GMT 2022","Sat Dec 24 01:47:35 GMT 2022","573","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"failed","Sat Dec 24 01:47:37 GMT 2022","Sat Dec 24 01:47:37 GMT 2022","279","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 01:47:22 GMT 2022","Sat Dec 24 01:47:23 GMT 2022","1775","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"skipped","Sat Dec 24 01:47:25 GMT 2022","Sat Dec 24 01:47:29 GMT 2022","4213","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 01:47:39 GMT 2022","Sat Dec 24 01:47:39 GMT 2022","16","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 01:47:31 GMT 2022","Sat Dec 24 01:47:35 GMT 2022","3956","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Sat Dec 24 01:47:28 GMT 2022","Sat Dec 24 01:47:32 GMT 2022","3999","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Sat Dec 24 01:47:37 GMT 2022","Sat Dec 24 01:47:37 GMT 2022","109","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 01:47:18 GMT 2022","Sat Dec 24 01:47:20 GMT 2022","1172","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 01:47:22 GMT 2022","Sat Dec 24 01:47:23 GMT 2022","1128","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 01:47:25 GMT 2022","Sat Dec 24 01:47:26 GMT 2022","1734","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
