"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 18:57:49 GMT 2022","Tue Dec 13 18:57:49 GMT 2022","312","api","test_login_api","","","","test_login_positive",""
"passed","Tue Dec 13 18:58:11 GMT 2022","Tue Dec 13 18:58:11 GMT 2022","653","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Tue Dec 13 18:57:50 GMT 2022","Tue Dec 13 18:57:50 GMT 2022","187","api","test_login_api","","","","test_entries",""
"passed","Tue Dec 13 18:57:54 GMT 2022","Tue Dec 13 18:57:55 GMT 2022","1567","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Tue Dec 13 18:58:08 GMT 2022","Tue Dec 13 18:58:09 GMT 2022","542","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Dec 13 18:57:49 GMT 2022","Tue Dec 13 18:57:49 GMT 2022","177","api","test_login_api","","","","test_login_negative[empty password]",""
"passed","Tue Dec 13 18:57:54 GMT 2022","Tue Dec 13 18:57:55 GMT 2022","1068","tests","test_auth","TestAuthClass","","","test_login_ui",""
"skipped","Tue Dec 13 18:58:00 GMT 2022","Tue Dec 13 18:58:03 GMT 2022","3818","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Tue Dec 13 18:57:57 GMT 2022","Tue Dec 13 18:57:58 GMT 2022","1141","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Tue Dec 13 18:58:11 GMT 2022","Tue Dec 13 18:58:11 GMT 2022","102","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Tue Dec 13 18:58:00 GMT 2022","Tue Dec 13 18:58:01 GMT 2022","1441","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Tue Dec 13 18:57:49 GMT 2022","Tue Dec 13 18:57:50 GMT 2022","169","api","test_login_api","","","","test_login_negative[empty user]",""
"passed","Tue Dec 13 18:57:57 GMT 2022","Tue Dec 13 18:57:58 GMT 2022","901","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Tue Dec 13 18:58:03 GMT 2022","Tue Dec 13 18:58:06 GMT 2022","3724","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Tue Dec 13 18:58:05 GMT 2022","Tue Dec 13 18:58:09 GMT 2022","3779","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Tue Dec 13 18:57:49 GMT 2022","Tue Dec 13 18:57:50 GMT 2022","179","api","test_login_api","","","","test_check",""
