"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:38 GMT 2022","183","api","test_login_api","","","","test_login_negative[empty user]",""
"broken","Wed Dec 14 14:39:57 GMT 2022","Wed Dec 14 14:40:02 GMT 2022","5173","tests","test_visual","TestVisualClass","","","Carousel is clickable next and previous buttons are active",""
"passed","Wed Dec 14 14:39:43 GMT 2022","Wed Dec 14 14:39:44 GMT 2022","958","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Wed Dec 14 14:39:39 GMT 2022","Wed Dec 14 14:39:39 GMT 2022","188","api","test_login_api","","","","test_pagination",""
"passed","Wed Dec 14 14:40:04 GMT 2022","Wed Dec 14 14:40:04 GMT 2022","63","tests","test_visual","TestVisualClass","","","Footer is present and text is valid",""
"passed","Wed Dec 14 14:39:49 GMT 2022","Wed Dec 14 14:39:50 GMT 2022","1429","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Wed Dec 14 14:39:52 GMT 2022","Wed Dec 14 14:39:55 GMT 2022","3171","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Wed Dec 14 14:39:48 GMT 2022","Wed Dec 14 14:39:49 GMT 2022","1441","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:38 GMT 2022","266","api","test_login_api","","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 14:39:39 GMT 2022","Wed Dec 14 14:39:39 GMT 2022","503","api","test_purchase_api","","","","test_purchase_api",""
"passed","Wed Dec 14 14:39:46 GMT 2022","Wed Dec 14 14:39:47 GMT 2022","880","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:38 GMT 2022","175","api","test_login_api","","","","test_login_negative[wrong data]",""
"passed","Wed Dec 14 14:39:41 GMT 2022","Wed Dec 14 14:39:43 GMT 2022","2384","api","test_purchase_api","","","","test_view_all_items",""
"passed","Wed Dec 14 14:39:45 GMT 2022","Wed Dec 14 14:39:46 GMT 2022","914","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 14:39:39 GMT 2022","Wed Dec 14 14:39:39 GMT 2022","199","api","test_login_api","","","","test_entries",""
"failed","Wed Dec 14 14:40:01 GMT 2022","Wed Dec 14 14:40:01 GMT 2022","149","tests","test_visual","TestVisualClass","","","Phone's category is available",""
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:41 GMT 2022","2430","api","test_login_api","","","","test_view_all_items",""
"passed","Wed Dec 14 14:39:56 GMT 2022","Wed Dec 14 14:39:59 GMT 2022","3133","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"skipped","Wed Dec 14 14:39:51 GMT 2022","Wed Dec 14 14:39:54 GMT 2022","3358","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:38 GMT 2022","194","api","test_login_api","","","","test_login_positive",""
"passed","Wed Dec 14 14:39:38 GMT 2022","Wed Dec 14 14:39:39 GMT 2022","178","api","test_login_api","","","","test_check",""
