"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 03:45:29 GMT 2022","Sat Dec 24 03:45:29 GMT 2022","24","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 03:45:31 GMT 2022","Sat Dec 24 03:45:32 GMT 2022","618","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 03:45:13 GMT 2022","Sat Dec 24 03:45:14 GMT 2022","1432","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Sat Dec 24 03:45:15 GMT 2022","Sat Dec 24 03:45:24 GMT 2022","8862","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 03:45:10 GMT 2022","Sat Dec 24 03:45:11 GMT 2022","950","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Sat Dec 24 03:45:24 GMT 2022","Sat Dec 24 03:45:24 GMT 2022","12","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 03:45:10 GMT 2022","Sat Dec 24 03:45:11 GMT 2022","912","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 03:45:16 GMT 2022","Sat Dec 24 03:45:17 GMT 2022","1512","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Sat Dec 24 03:45:26 GMT 2022","Sat Dec 24 03:45:27 GMT 2022","440","tests","test_visual","TestVisualClass","","","test_carousel_next_prev",""
"passed","Sat Dec 24 03:45:13 GMT 2022","Sat Dec 24 03:45:14 GMT 2022","1050","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 03:45:19 GMT 2022","Sat Dec 24 03:45:22 GMT 2022","3403","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Sat Dec 24 03:45:26 GMT 2022","Sat Dec 24 03:45:29 GMT 2022","3653","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
