"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Visual tests","0","0","4","0","0"
"","","Authorization tests","0","0","5","0","0"
"","","Purchase","0","0","3","0","0"
