"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 03:03:23 GMT 2022","Sat Dec 24 03:03:33 GMT 2022","9607","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 03:03:24 GMT 2022","Sat Dec 24 03:03:25 GMT 2022","1897","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"failed","Sat Dec 24 03:03:36 GMT 2022","Sat Dec 24 03:03:36 GMT 2022","370","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 03:03:16 GMT 2022","Sat Dec 24 03:03:17 GMT 2022","1299","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 03:03:20 GMT 2022","Sat Dec 24 03:03:21 GMT 2022","1261","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 03:03:34 GMT 2022","Sat Dec 24 03:03:38 GMT 2022","4147","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Sat Dec 24 03:03:33 GMT 2022","Sat Dec 24 03:03:34 GMT 2022","521","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"passed","Sat Dec 24 03:03:27 GMT 2022","Sat Dec 24 03:03:31 GMT 2022","4042","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Sat Dec 24 03:03:39 GMT 2022","Sat Dec 24 03:03:39 GMT 2022","18","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 03:03:20 GMT 2022","Sat Dec 24 03:03:21 GMT 2022","1889","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Sat Dec 24 03:03:41 GMT 2022","Sat Dec 24 03:03:41 GMT 2022","111","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 03:03:16 GMT 2022","Sat Dec 24 03:03:18 GMT 2022","1641","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
