"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 03:24:12 GMT 2022","Sat Dec 24 03:24:12 GMT 2022","79","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 03:24:10 GMT 2022","Sat Dec 24 03:24:10 GMT 2022","523","tests","test_visual","TestVisualClass","","","test_carousel_next_prev",""
"passed","Sat Dec 24 03:24:09 GMT 2022","Sat Dec 24 03:24:13 GMT 2022","3670","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Sat Dec 24 03:23:56 GMT 2022","Sat Dec 24 03:23:57 GMT 2022","970","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 03:23:53 GMT 2022","Sat Dec 24 03:23:54 GMT 2022","1029","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"failed","Sat Dec 24 03:24:15 GMT 2022","Sat Dec 24 03:24:15 GMT 2022","203","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 03:24:08 GMT 2022","Sat Dec 24 03:24:08 GMT 2022","10","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 03:23:59 GMT 2022","Sat Dec 24 03:24:08 GMT 2022","9006","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 03:23:56 GMT 2022","Sat Dec 24 03:23:58 GMT 2022","1571","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Sat Dec 24 03:23:53 GMT 2022","Sat Dec 24 03:23:54 GMT 2022","975","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 03:23:59 GMT 2022","Sat Dec 24 03:24:01 GMT 2022","1443","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Sat Dec 24 03:24:02 GMT 2022","Sat Dec 24 03:24:06 GMT 2022","3597","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
