"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 03:37:01 GMT 2022","Sat Dec 24 03:37:04 GMT 2022","3824","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Sat Dec 24 03:36:54 GMT 2022","Sat Dec 24 03:36:55 GMT 2022","1216","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Sat Dec 24 03:36:51 GMT 2022","Sat Dec 24 03:36:52 GMT 2022","1204","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Sat Dec 24 03:36:54 GMT 2022","Sat Dec 24 03:36:56 GMT 2022","1813","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Sat Dec 24 03:36:58 GMT 2022","Sat Dec 24 03:37:07 GMT 2022","9000","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Sat Dec 24 03:37:14 GMT 2022","Sat Dec 24 03:37:14 GMT 2022","109","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Sat Dec 24 03:36:57 GMT 2022","Sat Dec 24 03:36:59 GMT 2022","1664","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Sat Dec 24 03:37:06 GMT 2022","Sat Dec 24 03:37:06 GMT 2022","13","tests","test_visual","TestVisualClass","","","test_logo_is_present",""
"passed","Sat Dec 24 03:36:51 GMT 2022","Sat Dec 24 03:36:52 GMT 2022","1305","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Sat Dec 24 03:37:08 GMT 2022","Sat Dec 24 03:37:09 GMT 2022","657","tests","test_visual","TestVisualClass","","","test_carousel_next_prev",""
"skipped","Sat Dec 24 03:37:11 GMT 2022","Sat Dec 24 03:37:11 GMT 2022","390","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Sat Dec 24 03:37:08 GMT 2022","Sat Dec 24 03:37:12 GMT 2022","3868","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
