"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 18:52:29 GMT 2022","Mon Dec 12 18:52:30 GMT 2022","978","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Mon Dec 12 18:52:39 GMT 2022","Mon Dec 12 18:52:45 GMT 2022","6076","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Mon Dec 12 18:52:33 GMT 2022","Mon Dec 12 18:52:34 GMT 2022","1333","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Mon Dec 12 18:52:47 GMT 2022","Mon Dec 12 18:52:47 GMT 2022","67","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Mon Dec 12 18:52:29 GMT 2022","Mon Dec 12 18:52:30 GMT 2022","945","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Mon Dec 12 18:52:36 GMT 2022","Mon Dec 12 18:52:37 GMT 2022","1313","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Mon Dec 12 18:52:32 GMT 2022","Mon Dec 12 18:52:33 GMT 2022","933","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Mon Dec 12 18:52:35 GMT 2022","Mon Dec 12 18:52:37 GMT 2022","2766","tests","test_purchase","TestPurchaseClass","","","test_purchase",""
"broken","Mon Dec 12 18:52:39 GMT 2022","Mon Dec 12 18:52:44 GMT 2022","5164","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
