"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 14:50:44 GMT 2022","Wed Dec 14 14:50:44 GMT 2022","207","api","test_login_api","","","","test_login_negative[empty user]",""
"failed","Wed Dec 14 14:51:13 GMT 2022","Wed Dec 14 14:51:13 GMT 2022","358","tests","test_visual","TestVisualClass","","","Phone's category is available",""
"passed","Wed Dec 14 14:50:43 GMT 2022","Wed Dec 14 14:50:43 GMT 2022","377","api","test_login_api","","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 14:51:05 GMT 2022","Wed Dec 14 14:51:09 GMT 2022","3806","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Wed Dec 14 14:50:45 GMT 2022","Wed Dec 14 14:50:45 GMT 2022","697","api","test_purchase_api","","","","test_purchase_api",""
"passed","Wed Dec 14 14:51:07 GMT 2022","Wed Dec 14 14:51:11 GMT 2022","3817","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Wed Dec 14 14:50:54 GMT 2022","Wed Dec 14 14:50:55 GMT 2022","1434","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 14:50:44 GMT 2022","Wed Dec 14 14:50:44 GMT 2022","239","api","test_login_api","","","","test_entries",""
"skipped","Wed Dec 14 14:51:01 GMT 2022","Wed Dec 14 14:51:05 GMT 2022","4116","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Wed Dec 14 14:50:57 GMT 2022","Wed Dec 14 14:50:58 GMT 2022","1315","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Wed Dec 14 14:51:14 GMT 2022","Wed Dec 14 14:51:14 GMT 2022","117","tests","test_visual","TestVisualClass","","","Footer is present and text is valid",""
"passed","Wed Dec 14 14:50:44 GMT 2022","Wed Dec 14 14:50:47 GMT 2022","3259","api","test_login_api","","","","test_view_all_items",""
"passed","Wed Dec 14 14:50:43 GMT 2022","Wed Dec 14 14:50:44 GMT 2022","232","api","test_login_api","","","","test_login_negative[wrong data]",""
"passed","Wed Dec 14 14:50:54 GMT 2022","Wed Dec 14 14:50:55 GMT 2022","1340","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Wed Dec 14 14:51:01 GMT 2022","Wed Dec 14 14:51:03 GMT 2022","1717","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Wed Dec 14 14:50:44 GMT 2022","Wed Dec 14 14:50:44 GMT 2022","225","api","test_login_api","","","","test_check",""
"passed","Wed Dec 14 14:50:47 GMT 2022","Wed Dec 14 14:50:50 GMT 2022","3126","api","test_purchase_api","","","","test_view_all_items",""
"passed","Wed Dec 14 14:51:11 GMT 2022","Wed Dec 14 14:51:12 GMT 2022","574","tests","test_visual","TestVisualClass","","","Carousel is clickable next and previous buttons are active",""
"passed","Wed Dec 14 14:50:44 GMT 2022","Wed Dec 14 14:50:45 GMT 2022","230","api","test_login_api","","","","test_pagination",""
"passed","Wed Dec 14 14:50:57 GMT 2022","Wed Dec 14 14:50:59 GMT 2022","1918","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Wed Dec 14 14:50:43 GMT 2022","Wed Dec 14 14:50:44 GMT 2022","261","api","test_login_api","","","","test_login_positive",""
