"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 18:35:24 GMT 2022","Tue Dec 13 18:35:26 GMT 2022","1503","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Tue Dec 13 18:35:38 GMT 2022","Tue Dec 13 18:35:39 GMT 2022","649","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"passed","Tue Dec 13 18:35:35 GMT 2022","Tue Dec 13 18:35:36 GMT 2022","366","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"passed","Tue Dec 13 18:35:38 GMT 2022","Tue Dec 13 18:35:38 GMT 2022","62","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Tue Dec 13 18:35:21 GMT 2022","Tue Dec 13 18:35:22 GMT 2022","933","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Tue Dec 13 18:35:27 GMT 2022","Tue Dec 13 18:35:28 GMT 2022","1397","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Tue Dec 13 18:35:33 GMT 2022","Tue Dec 13 18:35:36 GMT 2022","3585","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"skipped","Tue Dec 13 18:35:27 GMT 2022","Tue Dec 13 18:35:31 GMT 2022","3649","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Tue Dec 13 18:35:24 GMT 2022","Tue Dec 13 18:35:25 GMT 2022","967","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Tue Dec 13 18:35:30 GMT 2022","Tue Dec 13 18:35:33 GMT 2022","3624","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"passed","Tue Dec 13 18:35:21 GMT 2022","Tue Dec 13 18:35:22 GMT 2022","1035","tests","test_auth","TestAuthClass","","","test_login_ui",""
