"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 19:41:35 GMT 2022","Mon Dec 12 19:41:36 GMT 2022","1039","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Mon Dec 12 19:41:38 GMT 2022","Mon Dec 12 19:41:39 GMT 2022","943","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Mon Dec 12 19:41:41 GMT 2022","Mon Dec 12 19:41:42 GMT 2022","1384","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"passed","Mon Dec 12 19:41:45 GMT 2022","Mon Dec 12 19:41:52 GMT 2022","6077","tests","test_visual","TestVisualClass","","","test_categories_phones",""
"broken","Mon Dec 12 19:41:44 GMT 2022","Mon Dec 12 19:41:49 GMT 2022","5163","tests","test_visual","TestVisualClass","","","Registered user is able to login with valid credentials",""
"passed","Mon Dec 12 19:41:41 GMT 2022","Mon Dec 12 19:41:44 GMT 2022","2622","tests","test_purchase","TestPurchaseClass","","","test_purchase",""
"passed","Mon Dec 12 19:41:51 GMT 2022","Mon Dec 12 19:41:51 GMT 2022","24","tests","test_visual","TestVisualClass","","","test_footer_is_present",""
"passed","Mon Dec 12 19:41:38 GMT 2022","Mon Dec 12 19:41:39 GMT 2022","1503","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Mon Dec 12 19:41:35 GMT 2022","Mon Dec 12 19:41:36 GMT 2022","982","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
