"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:31 GMT 2022","282","api","test_login_api","","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 15:30:43 GMT 2022","Wed Dec 14 15:30:44 GMT 2022","979","tests","test_auth","TestAuthClass","","","test_login_negative[empty name]",""
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:31 GMT 2022","165","api","test_login_api","","","","test_login_negative[empty user]",""
"passed","Wed Dec 14 15:30:32 GMT 2022","Wed Dec 14 15:30:32 GMT 2022","187","api","test_login_api","","","","test_entries",""
"passed","Wed Dec 14 15:30:32 GMT 2022","Wed Dec 14 15:30:33 GMT 2022","585","api","test_purchase_api","","","","test_purchase_api",""
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:31 GMT 2022","212","api","test_login_api","","","","test_login_positive",""
"passed","Wed Dec 14 15:30:40 GMT 2022","Wed Dec 14 15:30:41 GMT 2022","1138","tests","test_auth","TestAuthClass","","","test_login_ui",""
"passed","Wed Dec 14 15:30:32 GMT 2022","Wed Dec 14 15:30:32 GMT 2022","202","api","test_login_api","","","","test_pagination",""
"passed","Wed Dec 14 15:30:40 GMT 2022","Wed Dec 14 15:30:41 GMT 2022","1188","tests","test_auth","TestAuthClass","","","test_login_negative[empty password]",""
"passed","Wed Dec 14 15:30:55 GMT 2022","Wed Dec 14 15:30:55 GMT 2022","353","tests","test_visual","TestVisualClass","","","Carousel is clickable next and previous buttons are active",""
"passed","Wed Dec 14 15:30:51 GMT 2022","Wed Dec 14 15:30:54 GMT 2022","3210","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_name",""
"failed","Wed Dec 14 15:30:57 GMT 2022","Wed Dec 14 15:30:57 GMT 2022","182","tests","test_visual","TestVisualClass","","","Laptop's category is available",""
"passed","Wed Dec 14 15:30:43 GMT 2022","Wed Dec 14 15:30:45 GMT 2022","1507","tests","test_auth","TestAuthClass","","","test_login_negative[unregistered user]",""
"failed","Wed Dec 14 15:30:56 GMT 2022","Wed Dec 14 15:30:56 GMT 2022","184","tests","test_visual","TestVisualClass","","","Phone's category is available",""
"passed","Wed Dec 14 15:30:34 GMT 2022","Wed Dec 14 15:30:36 GMT 2022","2445","api","test_purchase_api","","","","test_view_all_items",""
"passed","Wed Dec 14 15:30:50 GMT 2022","Wed Dec 14 15:30:53 GMT 2022","3219","tests","test_purchase","TestPurchaseClass","","","test_purchase_wo_card",""
"passed","Wed Dec 14 15:30:47 GMT 2022","Wed Dec 14 15:30:48 GMT 2022","1508","tests","test_auth","TestAuthClass","","","test_signup_ui",""
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:34 GMT 2022","2463","api","test_login_api","","","","test_view_all_items",""
"passed","Wed Dec 14 15:30:59 GMT 2022","Wed Dec 14 15:30:59 GMT 2022","23","tests","test_visual","TestVisualClass","","","Footer is present and text is valid",""
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:32 GMT 2022","191","api","test_login_api","","","","test_check",""
"skipped","Wed Dec 14 15:30:46 GMT 2022","Wed Dec 14 15:30:49 GMT 2022","3263","tests","test_purchase","TestPurchaseClass","","","test_purchase_success",""
"passed","Wed Dec 14 15:30:31 GMT 2022","Wed Dec 14 15:30:31 GMT 2022","177","api","test_login_api","","","","test_login_negative[wrong data]",""
